limspedon_id,State,County_FIPS,County Name,latitude degrees,latitude minutes,latitude seconds,latitude direction,longitude degrees,longitude minutes,longitude seconds,longitude direction,latitude decimal_degrees,longitude decimal_degrees,horizontal datum,Classification Type: SSL,SSL_taxon_name,SSL_taxon_kind,SSL_taxonomic_classification_name,Classification Type: Field,field_taxon_name,field_taxon_kind,field_taxonomic_classification_name,Classification Type: Sampled As,sampledas_taxon_name,sampled_taxon_kind,sampledas_taxonomic_classification_name,Classification Type: Correlated As,correlatedas_taxon_name,correlatedas_taxon_kind,correlatedas_taxonomic_classification_name
12020,SD,SD019,Butte,44,46,42.2,north,103,39,31.2,west,,,WGS84,,,,,,,,,,,,,,,,
33814,SD,SD129,Walworth,45,20,33.71,north,99,59,30.46,west,,,WGS84,,,,,,,,,sampled as,Mobridge,taxadjunct,"Fine-silty, mixed, superactive, frigid Pachic Argiustoll",,,,
12016,SD,SD019,Butte,44,46,42.2,north,103,39,31.2,west,,,WGS84,,,,,,,,,,,,,,,,
12023,SD,SD019,Butte,44,46,46.9,north,103,39,24.5,west,,,WGS84,,,,,,,,,,,,,,,,
33186,NE,NE157,Scotts Bluff,41,44,56.04,north,103,58,50.88,west,,,WGS84,,,,,,,,,,,,,,,,
12018,SD,SD019,Butte,44,46,42.2,north,103,39,31.2,west,,,WGS84,,,,,,,,,,,,,,,,
32998,NE,NE155,Saunders,41,10,3.86,north,96,24,37.53,west,,,WGS84,,,,,,,,,,,,,,,,
33171,NE,NE123,Morrill,41,41,34.58,north,103,15,32.07,west,,,WGS84,,,,,,,,,,,,,,,,
12019,SD,SD019,Butte,44,46,42.2,north,103,39,31.2,west,,,WGS84,,,,,,,,,,,,,,,,
32986,NE,NE155,Saunders,41,10,3.87,north,96,24,39.11,west,,,WGS84,,,,,,,,,,,,,,,,
12017,SD,SD019,Butte,44,46,42.2,north,103,39,31.2,west,,,WGS84,,,,,,,,,,,,,,,,
