Paper,DOI,Corresponding soil paper,Treatment_1,Treatment_2,Treatment_3,Treatment_4,Treatment_5,Treatment_6,Treatment_7,Trt.combo,Trt.code,Control
Linden et al. 2000,10.1016/S0167-1987(00)00139-2,Allmaras et al. 2004,Residue harvest,0 kg N ha-1,Moldboard plow,NA,NA,NA,NA,"Residue harvest, 0 kg N ha-1, Moldboard plow",3,1
Linden et al. 2000,10.1016/S0167-1987(00)00139-2,Allmaras et al. 2004,Residue return,0 kg N ha-1,No till,NA,NA,NA,NA,"Residue return, 0 kg N ha-1, No till",4,
Linden et al. 2000,10.1016/S0167-1987(00)00139-2,Allmaras et al. 2004,Residue return,0 kg N ha-1,Chisel plow,NA,NA,NA,NA,"Residue return, 0 kg N ha-1, Chisel plow",5,
Linden et al. 2000,10.1016/S0167-1987(00)00139-2,Allmaras et al. 2004,Residue return,0 kg N ha-1,Moldboard plow,NA,NA,NA,NA,"Residue return, 0 kg N ha-1, Moldboard plow",6,
Linden et al. 2000,10.1016/S0167-1987(00)00139-2,Allmaras et al. 2004,Residue harvest,200 kg N ha-1,No till,NA,NA,NA,NA,"Residue harvest, 200 kg N ha-1, No till",7,
Linden et al. 2000,10.1016/S0167-1987(00)00139-2,Allmaras et al. 2004,Residue harvest,200 kg N ha-1,Chisel plow,NA,NA,NA,NA,"Residue harvest, 200 kg N ha-1, Chisel plow",8,
Linden et al. 2000,10.1016/S0167-1987(00)00139-2,Allmaras et al. 2004,Residue harvest,200 kg N ha-1,Moldboard plow,NA,NA,NA,NA,"Residue harvest, 200 kg N ha-1, Moldboard plow",9,
Linden et al. 2000,10.1016/S0167-1987(00)00139-2,Allmaras et al. 2004,Residue return,200 kg N ha-1,No till,NA,NA,NA,NA,"Residue return, 200 kg N ha-1, No till",10,
Linden et al. 2000,10.1016/S0167-1987(00)00139-2,Allmaras et al. 2004,Residue return,200 kg N ha-1,Chisel plow,NA,NA,NA,NA,"Residue return, 200 kg N ha-1, Chisel plow",11,
Linden et al. 2000,10.1016/S0167-1987(00)00139-2,Allmaras et al. 2004,Residue return,200 kg N ha-1,Moldboard plow,NA,NA,NA,NA,"Residue return, 200 kg N ha-1, Moldboard plow",12,
Pikul et al. 2001,10.1016/S0167-1987(01)00174-X,Pikul et al. 2001,Ridge tillage,NA,NA,NA,NA,NA,NA,Ridge tillage,2,
Pikul et al. 2001,10.1016/S0167-1987(01)00174-X,Pikul et al. 2001,Conventional tillage,NA,NA,NA,NA,NA,NA,Conventional tillage,1,1
